word,count
prepare,3
oathes,1
hamlet,100
spoke,2
primall,1
pittie,2
hall,1
minerall,1
reeles,1
guards,1
iuyce,1
clambring,1
childe,2
teamed,1
would,73
pick,1
legs,1
warrant,5
vses,3
ten,3
hoopes,1
blasts,1
solid,1
meats,1
tyrannous,1
competent,1
heares,2
stirre,3
custome,8
hearer,1
1,4
willow,1
southerly,1
moore,1
motiue,4
left,4
reynol,13
basenesse,1
prophesie,2
therfore,1
iocond,1
hang,4
vengeance,2
sonnet,1
infinite,3
sonnes,2
pronounc,2
turn,5
violets,2
minds,2
gold,1
impresse,1
opposition,2
flie,1
same,13
gentrie,1
businesse,10
stirring,1
commission,5
quiet,5
after,13
gleane,1
obseruant,1
hand,19
a,511
minde,10
salt,3
garland,1
felicitie,1
d,223
e,7
rabble,1
dogges,1
i,574
accurst,1
k,1
weeping,1
l,24
blood,12
m,5
neighbor,1
n,5
remembred,1
o,67
the,993
straight,3
halt,1
s,124
t,91
throw,4
norway,4
y,3
thank,1
eies,1
violent,4
thy,90
confront,1
cuplet,1
good,98
sustaine,1
wheele,3
til,1
houer,1
besides,1
serious,1
sourse,2
auoid,1
laugh,6
others,4
tis,69
tush,2
rome,1
making,5
resolue,1
lucianus,2
polonius,20
diseas,1
walkes,2
gone,13
sleepes,4
aside,1
likenesse,1
iust,3
garbe,1
cheff,1
hart,1
beshrew,1
boorded,1
healthfull,1
denmark,2
anticipation,1
aduanc,1
hard,3
lend,4
creepe,1
worser,1
rood,1
swords,1
requite,1
better,15
hercules,3
ladie,1
neuer,24
inuestments,1
well,71
norwey,5
hearke,1
breadth,1
rore,1
walke,9
pile,1
shrowding,1
deerely,1
sate,3
willes,1
witching,1
cornelius,4
incensed,1
prouinciall,1
fearing,1
oppressors,1
struck,1
hate,1
vnhappily,1
hath,57
order,3
gaine,1
carrion,1
conceit,5
pratlings,1
went,5
treacherie,2
rosincran,1
raine,1
distant,1
clo,29
hast,28
gore,1
propose,2
maruellous,1
reform,1
quilles,1
bringing,1
fearfull,1
sorrie,2
spots,1
villaines,1
schoole,1
sledded,1
widdow,1
coach,1
cautell,1
homage,1
woman,7
olympus,1
coated,1
rots,1
pins,1
toe,2
matter,26
sauagenes,1
top,8
too,60
honesty,1
owle,1
venome,2
orderly,1
vnmannerly,1
tythe,1
noise,7
peebles,1
wombe,1
toy,2
succession,2
gaming,3
quils,1
famous,1
question,14
spirit,14
floud,1
metled,1
saue,5
picture,2
