word,count
ophel,2
damne,1
sounding,1
diseases,1
follow,21
sundaies,1
demand,2
queene,39
beetles,1
sister,8
vnproportion,1
begge,6
former,2
tutor,1
labour,2
pleasant,1
pickhaxe,1
gentlemen,12
requiem,1
schoole,1
suite,2
witchcraft,2
trick,1
repulsed,1
gainst,5
famous,1
raw,1
barke,1
pastors,1
stopes,1
creepe,1
prouinciall,1
stages,1
thee,58
fain,1
intreated,1
hard,3
rant,1
welcome,16
bonds,2
maruell,1
reuennew,1
seat,1
carry,3
thorny,1
euill,2
iocond,1
cleare,1
moderate,1
speciall,3
strawes,1
easier,1
speedier,1
rowe,1
tweene,1
therefore,14
leuies,2
rude,2
capeable,2
trauaile,1
reuerend,1
brazon,1
realme,1
falne,2
rouce,1
conuersation,1
botch,1
messengers,1
validitie,1
wretched,4
their,48
lordship,6
plots,2
presently,5
deuice,1
broakers,1
closely,1
priam,4
foot,2
pay,3
brooke,2
vowes,6
arrant,2
mercy,5
e,7
fate,2
mother,40
weepe,4
distinguish,1
rank,1
distresse,1
necessaries,1
crowing,1
peece,6
danskers,1
priams,1
vapours,1
ignorant,2
guifts,1
cherube,1
infects,1
shatter,1
frown,1
look,7
fit,12
withdrew,1
offendendo,1
shepheards,1
foresaid,1
fairely,1
carnall,1
next,4
carters,1
ile,58
bee,16
mainly,1
aye,2
knotty,1
voltemand,3
ennactors,1
whose,27
stealing,1
bloude,1
mantle,1
perfume,1
midnight,1
encounter,3
beame,1
shooes,2
primrose,1
deepe,3
iustice,1
distant,1
churches,1
gis,1
remoue,2
aspect,1
scul,1
gulfe,1
pluck,2
thsunne,1
crosse,2
returne,5
globe,1
defence,2
must,58
quickly,1
town,1
weighing,1
ran,1
offence,9
seemes,8
carowses,1
potently,1
entreatments,1
tragedie,4
either,4
tremble,2
cruell,2
fortunes,6
powerfully,1
pate,4
sallets,1
mermaid,1
reform,1
landlesse,1
saying,1
ghosts,1
courtiers,2
slaue,5
friendship,2
forbid,2
reynol,13
welcom,1
think,4
denies,1
ro,1
go,48
meete,4
diddest,1
many,15
yesternight,1
range,1
heauen,44
fire,11
incens,1
towring,1
clothes,1
massie,1
armour,2
lights,4
astonish,1
n,5
wil,4
difference,1
whit,1
arras,3
cressant,1
cat,1
but,249
clad,1
action,10
eldest,1
practise,1
pole,2
somthing,2
tweakes,1
lie,1
stirr,1
truly,5
powers,2
remain,1
cannons,1
forrest,1
patricke,1
cramm,1
brothell,1
wits,6
pretty,2
iust,3
lesser,1
hurt,2
whispers,1
gray,1
libertine,1
adieu,1
soldiers,3
iaw,2
suspiration,1
escape,2
scant,1
directly,1
vnhouzzled,1
hate,1
saue,5
why,60
lookes,7
late,10
wrist,1
loues,6
vsuall,1
st,29
floud,1
baby,2
clout,1
alone,10
learning,1
presentment,1
somnet,1
playd,1
count,4
voice,2
third,3
melt,2
blackest,1
stoppes,1
liues,3
blasted,2
poore,20
dire,1
informe,1
gates,1
wise,2
am,52
comming,4
leige,1
stayes,1
then,108
primus,1
supper,2
assaid,1
officers,2
sits,4
entrance,1
grandsire,1
ayme,1
feete,1
amen,1
dogges,1
sting,2
wrong,8
murder,3
tables,3
enterprizes,1
comment,1
glad,4
daintier,1
guild,20
againe,34
osr,18
sadnesse,1
trippingly,1
mason,2
horsebacke,1
vnmatch,1
heres,1
loines,1
struck,1
could,31
vile,1
steward,1
partiall,1
mart,1
is,328
neede,3
plaine,1
appurtenance,1
cease,2
shoulder,1
swift,2
relieu,1
sement,1
organ,1
enemie,1
tragicall,2
resort,1
children,3
simple,1
pile,1
iowles,1
tender,3
crowners,1
wish,4
remembraunce,1
chopfalne,1
melodious,1
fatnesse,1
high,3
knauery,1
contend,1
debate,1
illusion,1
fiery,2
vpshot,1
conceit,5
striking,1
ord,1
sweets,1
cum,1
cold,6
illium,1
subscrib,1
adoption,1
yet,37
condolement,1
minds,2
se,1
cloath,1
within,20
tane,3
countries,2
pox,1
knowest,1
determine,1
polake,1
deske,1
spade,4
cried,2
curse,1
greetings,1
forme,12
liued,3
perusall,1
bewept,1
stung,1
thou,107
seiz,1
necke,2
speech,16
perfect,1
poysons,1
adue,5
remisse,1
perceiued,1
wart,1
lads,1
iester,1
thrift,4
wracke,1
players,19
aloofe,2
prince,3
dearly,1
ladie,1
oddes,3
englands,1
ayres,1
smile,2
affear,1
farewell,15
fie,5
feares,1
outliues,1
barnardo,8
ere,15
glassie,1
smot,1
pagan,1
farwell,1
danger,4
intreat,2
prouerbe,1
trifle,1
truant,2
weares,1
orchard,2
redeliuer,1
howsoeuer,1
humour,1
gertrude,13
doubts,1
womans,1
yond,1
plautus,1
seruices,1
interre,1
knauish,2
maker,4
vnrighteous,1
storme,1
stythe,1
dig,1
glares,1
glimpses,1
ioyfully,1
vnmixt,1
strooke,3
priest,3
seeme,9
vnpreuayling,1
impresse,1
scann,1
suppliance,1
match,2
gonzago,4
discomfort,1
chance,2
buzzers,1
wed,3
seeing,4
cry,3
dungeons,1
inuestments,1
wassels,1
wilde,2
coniuring,1
driues,1
stands,3
charme,1
stalkes,1
whether,4
reconcilement,1
claudio,1
satisfaction,1
sayest,1
rosemary,1
willing,2
leuied,1
garbage,1
corner,1
seasons,1
most,77
naked,2
gold,1
creatures,3
else,13
cannon,4
ambassadors,3
remainder,1
argument,3
trumpet,4
wring,1
polon,38
becke,1
does,18
truepenny,1
vienna,1
fauours,2
mad,21
scena,3
adioyn,1
serious,1
cost,2
guts,2
intill,1
humble,1
watcht,1
cuckold,1
strange,9
foreknowing,1
lightnesse,1
leaues,3
promise,2
higher,1
owne,31
came,8
ambassador,1
purport,1
alexander,5
extasie,4
young,9
villaine,11
spleenatiue,1
wherefore,3
associates,1
quality,3
baudry,1
father,50
bounteous,1
saile,3
loued,3
whereas,1
thence,4
speechlesse,1
dispriz,1
porches,1
thine,14
treasure,4
he,202
pace,3
vgly,1
vnweeded,1
kites,1
fat,6
onely,5
aint,2
mettle,2
aduantage,1
through,7
clap,1
sorry,2
paire,2
backe,6
swearing,2
passage,2
rouse,2
can,35
clay,3
imediate,1
dispatch,2
bowts,1
fallies,1
partizan,1
feele,1
beare,13
vnnerued,1
smear,1
shardes,1
religion,1
patches,1
gumme,1
appliance,1
she,45
abhorred,1
sphere,1
shark,1
alarum,1
scoenes,1
aside,1
yeelding,1
ifaith,2
villany,1
souldiours,1
tedious,2
desirous,1
hic,1
pawse,1
appetite,1
hourely,1
wonderfull,2
conference,1
natures,2
false,6
finds,1
ayre,12
liberty,4
poysoner,2
rogue,2
throate,2
chaste,1
readinesse,1
coap,1
strongest,1
city,2
deeme,1
sheets,1
whipt,1
soales,1
lazar,1
button,1
neglected,2
noise,7
sword,16
laide,2
basket,2
horson,1
secret,4
rabble,1
exercise,3
hangers,3
been,3
call,23
mony,1
horses,2
toward,4
blastments,1
kinde,11
abroad,1
gall,3
one,46
vnmastred,1
staires,1
hell,10
company,1
yeare,5
attent,1
enuy,1
beckens,1
toe,2
flats,1
rule,1
fiers,1
gen,1
share,1
rotten,2
waile,1
still,18
prettinesse,1
oft,10
nunnerie,1
letter,3
song,1
soldier,2
calfe,1
mighty,2
horat,1
actors,2
against,20
kil,1
mildew,1
actions,1
cup,4
boorded,1
stirre,3
dosen,1
yong,8
rosincrane,3
grew,1
guarded,1
trickes,2
rend,2
chappell,2
reignes,1
bookes,1
apt,2
ditchers,1
bloud,4
feare,21
quest,1
hide,4
lippes,1
beggard,1
abus,1
purg,1
beseech,8
shipwright,2
cornelius,4
elsenour,1
ophelia,28
nothing,27
wandring,1
withers,1
accuse,1
dies,1
lend,4
excellence,2
sometime,1
tarre,1
note,6
laer,60
sunday,1
braine,5
forgotten,1
kist,1
craft,2
affraide,1
hoby,2
losse,1
traile,2
alas,9
slanders,1
churchyards,1
sulphurous,1
incontinencie,1
vertuous,1
obligation,2
fell,8
trulie,1
enters,1
buffets,1
phoebus,1
reading,2
conueniently,1
vnshaped,1
cudgell,1
infect,1
crew,2
curles,1
custome,8
modestie,4
flaw,1
protests,1
happen,1
stroke,1
vnholy,1
probation,1
plum,1
dream,1
me,228
battalians,1
breeder,1
wipe,2
raine,1
vnsatisfied,1
choyce,3
neighbour,1
nobility,1
insolence,1
crowes,1
venome,2
approue,1
villanous,1
perhaps,5
punish,1
robin,1
otherwise,3
withall,6
monsters,1
delight,3
deliuer,5
acquaint,1
stop,4
ioy,8
desart,2
wilfully,1
camelions,1
pickers,1
repose,1
contrary,1
habite,2
tellus,1
iohn,1
rights,1
not,300
vnmanly,1
assur,2
gentrie,1
honestie,4
purposes,2
treads,1
cryer,1
set,22
husbandry,1
videlicet,1
bugges,1
mockery,1
season,7
pittifull,1
ambiguous,1
findes,2
tragedians,1
tell,43
sledded,1
admittance,1
siluer,2
plundge,1
olympus,1
of,610
noble,16
brow,4
lists,1
t,91
quillets,1
intent,2
southerly,1
do,104
arraigne,1
replies,1
foyle,1
heau,2
aduice,3
happinesse,1
beleefe,1
shockes,1
fantasie,2
ayrie,1
bound,5
serpent,2
1599,1
bawdy,1
hasten,1
quarelling,1
lunacy,1
vnschool,1
vnknowne,1
palpable,1
wager,6
volly,1
eterne,1
vnto,5
being,11
worser,1
charge,7
braz,1
daughters,1
consent,3
second,10
debatement,1
bend,3
imminent,1
worth,1
claime,1
ground,8
contriue,2
accepts,1
lies,4
calamity,1
forgone,1
strife,1
inuentors,1
reuisits,1
k,1
conueyances,1
bought,1
strikes,1
innocent,1
rocke,1
wisedome,5
wot,1
rebuke,1
toyles,1
thinking,3
oare,1
vpspring,1
spill,1
thornes,1
tend,4
sage,1
voyage,2
ake,2
wittemberge,1
aduise,1
regard,1
slander,1
selfe,68
compound,1
imagination,4
sport,2
leuell,1
runnes,1
drownes,1
intruding,1
numbers,1
doublet,1
sickly,1
addicted,1
strick,1
cocke,5
crooke,1
visite,1
euerie,1
affection,4
ambition,5
wing,1
see,48
scarft,1
strict,1
scullion,1
defectiue,1
al,1
corrupted,1
motiue,4
answerest,1
king,172
prisoner,2
beene,13
reueng,3
wildely,2
flash,1
lack,1
marching,1
vnction,2
lunacie,1
porpentine,1
actor,3
function,1
affront,1
fortified,1
moued,1
requit,1
ayde,1
woe,8
purples,1
compost,1
both,34
exits,1
ask,1
longer,5
take,32
successiue,1
nant,1
bespeake,1
hasty,1
easie,1
denote,1
shent,1
eyes,20
addition,1
sent,14
shakespeare,1
sect,1
deny,3
lockes,1
throne,2
forraigne,1
boystrous,1
wretch,3
doo,5
passions,1
rite,1
sensible,2
weakest,1
charitable,2
calmely,1
singeth,1
cannot,27
france,5
physicke,1
ment,3
mornings,1
mincing,1
laboured,1
blunt,1
sweepe,1
bodykins,1
courtesie,1
scorne,1
depriue,1
frends,1
growne,4
enemy,2
slaues,1
incapable,1
esteem,1
met,1
allegeance,1
sized,1
sokes,1
bulwarke,1
ceremony,1
vsurpe,1
vulgar,2
nonce,1
neither,6
honourd,1
dreames,4
vnderstanding,3
resembles,1
stops,1
blow,2
mourn,1
points,2
currants,2
round,6
coarses,1
pious,2
you,527
non,1
insert,1
attended,1
receiues,1
panders,1
now,92
heraldrie,1
vaine,1
statists,1
parley,1
commendable,1
aduancement,2
reaks,1
ordenance,1
edge,3
brood,1
sight,8
cousen,1
maiestie,7
winking,1
peepe,2
ago,1
hecticke,1
requite,1
wisedomes,1
shortens,1
doctor,1
perdie,1
died,1
went,5
delights,3
profession,1
temple,1
hey,3
did,63
dole,1
exeunt,23
inclin,1
stye,1
strike,2
heads,1
cuffes,1
prayers,1
extremity,1
sutes,1
didst,1
obseruers,1
ice,2
blast,2
visitation,3
cheeke,2
holie,1
scarce,1
swaies,1
haile,1
faded,1
chide,1
permanent,1
defie,1
formall,1
rugged,2
stale,1
deere,20
back,2
satyre,1
breaths,1
vnkles,1
twenty,2
sadly,1
sing,5
shrunke,1
marble,1
importunity,1
gaue,7
benefit,1
proper,2
obedience,2
therfore,1
collected,2
wharfe,1
ape,2
orderly,1
easily,1
supply,1
pol,49
bands,1
impotent,1
found,5
minerall,1
won,1
assault,1
cries,5
hanging,1
deuices,1
fellowship,2
thinke,43
fals,2
vnhappily,1
hot,6
honesty,1
steale,1
vnion,2
royall,3
fingers,4
hole,1
colours,1
larded,2
some,45
sinnes,2
warmes,1
beguile,2
whom,4
greet,1
concluded,1
pitious,1
soone,1
annoint,1
accesse,1
iangled,1
twelue,5
paule,1
apart,2
remorselesse,1
relatiue,1
thereof,1
rash,3
retaine,1
preparation,1
taken,2
belou,1
comedie,2
claimes,1
drie,1
reeles,1
fruitfull,1
throughly,1
wonder,4
germaine,1
seduce,1
vp,36
doth,27
loud,1
violent,4
signifie,2
burning,2
hindges,1
comply,1
haply,2
euen,21
organe,1
medicine,1
distrust,2
defend,2
gracious,6
combined,1
burnes,2
ros,2
fierie,1
importing,2
fra,1
drab,1
prayer,2
lady,10
president,1
tokens,1
pe,1
marcell,1
ee,3
applaud,1
blood,12
droppings,1
wither,1
abuse,1
gleane,1
thanke,7
smiling,3
debt,1
ioynt,2
conqueror,1
or,103
bed,13
shuffel,1
flie,1
heere,50
warning,1
amb,1
behold,1
though,22
retooke,1
breuitie,1
fear,1
voltumand,2
lispe,1
distracted,4
groaning,1
farme,1
better,15
disioynt,1
firme,1
exceedingly,1
pelion,1
galls,2
dane,6
conception,1
holds,5
extant,1
country,2
pursuest,1
thrice,4
yeeld,1
last,13
historicall,3
dawning,1
tan,1
ambass,1
sun,3
draw,9
sometimes,5
abstracts,1
hast,28
bawd,1
lords,5
summons,1
admiration,3
forehead,2
yawne,1
solemne,2
faults,3
teach,5
morrow,5
sixe,3
acts,2
vnlimited,1
bloudy,1
carpenter,2
hypocrite,1
wore,1
highly,1
bodilesse,1
somewhat,1
vs,64
get,9
retyrement,1
doubtfull,2
sipping,1
esile,1
infants,1
dew,3
illo,1
arme,5
waites,1
blowes,2
afflict,1
coniectures,1
fitting,1
key,1
pith,2
confesse,5
beaten,1
milkie,1
decline,1
breed,2
fruites,1
norman,3
rises,2
busie,1
rauell,1
without,13
sending,2
asunder,1
thoughts,17
offices,1
moones,1
tast,1
assaies,1
tongue,14
broke,2
oppression,1
forgetting,1
fantasticke,1
puh,2
goose,1
scape,2
behoues,1
frailty,1
bleed,1
ioyne,2
win,2
vnfold,3
eielids,1
sheepe,1
greatnesse,1
face,10
summe,1
those,20
agreeing,1
mutine,1
cart,1
hora,9
encompassement,1
drowned,1
clown,2
kibe,1
doores,2
statutes,1
towards,2
defeate,1
indiscretion,1
impittious,1
deuoutly,1
assis,1
accent,2
obseruance,2
once,19
gins,1
seriuce,1
harshly,1
quintessence,1
extorted,1
treason,5
mee,10
espials,1
byrlady,2
yases,1
deerely,1
wormwood,2
hymen,1
men,10
ont,1
paconcies,1
weake,2
gather,3
waight,1
greefe,10
barren,1
mew,1
gambals,1
auspicious,1
sawes,1
snatches,1
roses,1
matter,26
rood,1
bace,1
field,1
turbulent,1
beg,1
hitherto,2
stiffely,1
indeede,3
wrath,1
ue,2
receiue,7
distemper,4
