abide,2,"",82
abler,1,"",""
aboue,3,4,""
abridg,1,"",""
abroad,2,1,80
absence,1,"",2
absent,1,1,11
abuse,2,1,3
accents,1,"",""
accidentall,1,1,""
according,3,2,797
accoutred,1,"",""
acquainted,1,"",2
acrosse,1,"",""
acte,2,4,""
acted,1,1,""
acting,1,1,""
action,2,10,""
actors,1,2,""
actus,5,2,""
adde,1,"",""
added,2,"",15
adder,1,"",4
addition,1,1,1
addrest,1,"",""
aduantage,3,1,""
aeneas,1,1,2
afear,1,"",""
affabilitie,1,"",""
affayres,3,"",""
affection,1,4,6
affections,1,1,2
affraid,1,"",""
affrighted,1,1,9
againe,18,34,""
age,5,8,42
agen,2,"",""
ages,2,"",4
agree,1,"",7
ague,1,"",1
alarum,7,1,""
alarums,3,"",""
alas,8,9,20
alasse,1,"",""
alchymie,1,"",""
aliue,5,"",""
alliance,1,"",""
allow,1,1,3
alone,6,10,108
alreadie,1,"",""
alwayes,1,2,""
am,57,52,874
amaz,1,1,""
amaze,1,1,""
ambition,4,5,""
ambitions,2,"",""
ambitious,8,3,""
amisse,3,1,""
ancestor,1,"",""
ancestors,3,"",1
anchyses,1,"",""
angel,1,1,203
angell,1,2,""
anger,1,1,234
angry,5,1,44
annoy,1,"",""
annoying,1,"",""
answer,13,9,131
answere,1,4,""
answered,3,1,492
answering,1,"",31
ant,48,"",1
antonies,1,"",""
antonio,5,"",""
antony,75,"",""
apace,1,"",3
apes,1,"",2
apparant,1,"",""
apparition,1,2,""
apparrell,1,"",""
appeare,7,3,""
appeas,1,"",""
appertaine,1,"",""
appetite,1,1,4
applauses,1,"",""
apply,1,"",4
appoint,1,"",41
apprehensiue,1,"",""
apron,1,"",""
apt,3,2,4
arbors,1,"",""
arguing,1,"",1
arises,1,"",""
arm,2,4,67
arme,2,5,""
armes,4,9,""
armies,1,"",43
arming,1,"",""
army,7,"",82
arose,1,"",173
arriu,1,"",""
arriue,1,"",""
art,25,17,494
artemidorus,2,"",""
artimedorus,1,"",""
arts,1,"",1
ascend,1,"",13
ascended,1,"",19
ashamed,1,"",122
ask,1,1,109
aske,2,2,""
asleepe,2,1,""
asse,2,4,""
assemble,1,"",20
assembly,1,"",49
assur,1,2,2
assure,2,1,1
astonish,1,1,""
aswell,1,"",""
ate,1,"",3
attaine,2,"",""
attaines,1,"",""
attempt,1,"",""
attempts,1,"",""
attendants,1,2,""
attyre,1,"",""
audience,2,5,12
aueng,1,"",""
augmented,1,"",""
augurers,2,"",""
aule,1,"",""
auoyd,1,2,""
