word,count,weight
data,58,5.23465%
Spark,30,2.70758%
AWS,27,2.43682%
using,26,2.34657%
Hadoop,16,1.44404%
Kafka,14,1.26353%
cluster,13,1.17328%
Worked,12,1.08303%
big,12,1.08303%
Apache,10,0.90252%
Hive,10,0.90252%
HDFS,9,0.81227%
S3,8,0.72202%
Hortonworks,7,0.63176%
Data,7,0.63176%
Sqoop,7,0.63176%
Streaming,7,0.63176%
structured,6,0.54151%
Used,6,0.54151%
Cloudera,6,0.54151%
streaming,6,0.54151%
Performed,5,0.45126%
files,5,0.45126%
processing,5,0.45126%
SQL,5,0.45126%
security,5,0.45126%
systems,4,0.36101%
tools,4,0.36101%
process,4,0.36101%
performance,4,0.36101%
like,4,0.36101%
create,4,0.36101%
Ambari,4,0.36101%
Defined,4,0.36101%
BIG,4,0.36101%
Responsible,4,0.36101%
load,4,0.36101%
Kerberos,4,0.36101%
DATA,4,0.36101%
Amazon,4,0.36101%
broker,3,0.27075%
Kerberos.,3,0.27075%
User,3,0.27075%
Cloud,3,0.27075%
data.,3,0.27075%
Integrated,3,0.27075%
ETL,3,0.27075%
Cassandra,3,0.27075%
Git,3,0.27075%
services,3,0.27075%
Kinesis,3,0.27075%
real,3,0.27075%
Hands-on,3,0.27075%
Zookeeper,3,0.27075%
database,3,0.27075%
DynamoDB,3,0.27075%
Ranger,3,0.27075%
processing.,3,0.27075%
Lambda,3,0.27075%
scheduling,3,0.27075%
Python,3,0.27075%
Flume,3,0.27075%
loading,3,0.27075%
Configured,3,0.27075%
Oozie,3,0.27075%
Handled,3,0.27075%
log,3,0.27075%
clusters,3,0.27075%
cloud,3,0.27075%
AWS.,3,0.27075%
pipeline,3,0.27075%
Developed,3,0.27075%
Scala.,3,0.27075%
MySQL,3,0.27075%
Jenkins,3,0.27075%
jobs,3,0.27075%
Avro,3,0.27075%
Big,3,0.27075%
Yarn,3,0.27075%
system,3,0.27075%
schema.,2,0.18050%
CI,2,0.18050%
Airflow,2,0.18050%
metadata,2,0.18050%
HADOOP,2,0.18050%
Manager,2,0.18050%
scripts,2,0.18050%
Lake,2,0.18050%
engine,2,0.18050%
real-time,2,0.18050%
Engineering,2,0.18050%
custom,2,0.18050%
ENGINEER,2,0.18050%
RDS,2,0.18050%
Tools,2,0.18050%
experience,2,0.18050%
Created,2,0.18050%
applications,2,0.18050%
Designed,2,0.18050%
version,2,0.18050%
Set-up,2,0.18050%
(999),2,0.18050%
funneled,2,0.18050%
extract,2,0.18050%
platform.,2,0.18050%
integrated,2,0.18050%
writing,2,0.18050%
high,2,0.18050%
systems.,2,0.18050%
Migrated,2,0.18050%
IAM,2,0.18050%
HIVE,2,0.18050%
Functions,2,0.18050%
day,2,0.18050%
Formation,2,0.18050%
XML,2,0.18050%
Have,2,0.18050%
Able,2,0.18050%
queries,2,0.18050%
ingestion,2,0.18050%
Relational,2,0.18050%
JSON,2,0.18050%
consultant@gmail.com,2,0.18050%
bucket,2,0.18050%
Development,2,0.18050%
job,2,0.18050%
999-9999,2,0.18050%
messages,2,0.18050%
templates,2,0.18050%
buckets,2,0.18050%
procedures,2,0.18050%
Testing,2,0.18050%
warehouse,2,0.18050%
2002,2,0.18050%
2004,2,0.18050%
business,2,0.18050%
DEVELOPMENT,2,0.18050%
EMR,2,0.18050%
System,2,0.18050%
perform,2,0.18050%
HDFS.,2,0.18050%
end-to-end,2,0.18050%
time,2,0.18050%
Kafka.,2,0.18050%
tuning,2,0.18050%
Implemented,2,0.18050%
memory,2,0.18050%
extraction,2,0.18050%
DEVELOPER,2,0.18050%
HiveQL,2,0.18050%
support,2,0.18050%
terabytes,2,0.18050%
optimize,2,0.18050%
distributions,2,0.18050%
capacity,2,0.18050%
EXPERIENCE,2,0.18050%
transformations,2,0.18050%
storage,2,0.18050%
upgrades,2,0.18050%
maintenance,2,0.18050%
Kibana,2,0.18050%
Web,2,0.18050%
application,2,0.18050%
databases,2,0.18050%
extracting,2,0.18050%
tables,2,0.18050%
topics.,2,0.18050%
Redshift,2,0.18050%
Database,2,0.18050%
