word,count,weight
and,78,4.49308%
data,61,3.51382%
to,50,2.88018%
Spark,37,2.13133%
for,35,2.01612%
AWS,35,2.01612%
the,33,1.90092%
using,26,1.49769%
in,26,1.49769%
of,23,1.32488%
on,23,1.32488%
with,22,1.26728%
Hadoop,20,1.15207%
Kafka,17,0.97926%
from,16,0.92165%
Data,15,0.86405%
Apache,15,0.86405%
cluster,15,0.86405%
Worked,12,0.69124%
Hive,12,0.69124%
big,12,0.69124%
HDFS,11,0.63364%
SQL,10,0.57603%
S3,10,0.57603%
into,10,0.57603%
Hortonworks,9,0.51843%
processing,9,0.51843%
Sqoop,9,0.51843%
Cloudera,9,0.51843%
Big,9,0.51843%
Streaming,9,0.51843%
999,8,0.46082%
as,7,0.40322%
streaming,7,0.40322%
Kerberos,7,0.40322%
systems,6,0.34562%
Cassandra,6,0.34562%
by,6,0.34562%
various,6,0.34562%
a,6,0.34562%
through,6,0.34562%
EMR,6,0.34562%
Ambari,6,0.34562%
2002,6,0.34562%
2004,6,0.34562%
structured,6,0.34562%
Used,6,0.34562%
tools,5,0.28801%
files,5,0.28801%
performance,5,0.28801%
Performed,5,0.28801%
process,5,0.28801%
real,5,0.28801%
Scala,5,0.28801%
5,5,0.28801%
Python,5,0.28801%
security,5,0.28801%
BIG,5,0.28801%
time,5,0.28801%
clusters,5,0.28801%
Amazon,5,0.28801%
DATA,5,0.28801%
Chris,4,0.23041%
Cloud,4,0.23041%
s,4,0.23041%
like,4,0.23041%
com,4,0.23041%
Git,4,0.23041%
Tools,4,0.23041%
Engineering,4,0.23041%
Years,4,0.23041%
services,4,0.23041%
create,4,0.23041%
Engineer,4,0.23041%
DynamoDB,4,0.23041%
Zookeeper,4,0.23041%
end,4,0.23041%
database,4,0.23041%
Formation,4,0.23041%
Ranger,4,0.23041%
DEVELOPMENT,4,0.23041%
Testing,4,0.23041%
Defined,4,0.23041%
Flume,4,0.23041%
System,4,0.23041%
used,4,0.23041%
consultant,4,0.23041%
Oozie,4,0.23041%
over,4,0.23041%
Responsible,4,0.23041%
load,4,0.23041%
gmail,4,0.23041%
EXPERIENCE,4,0.23041%
Peng,4,0.23041%
9999,4,0.23041%
Jenkins,4,0.23041%
Redshift,4,0.23041%
MySQL,4,0.23041%
Kibana,4,0.23041%
Yarn,4,0.23041%
Avro,4,0.23041%
system,4,0.23041%
HADOOP,3,0.17281%
Airflow,3,0.17281%
Manager,3,0.17281%
User,3,0.17281%
broker,3,0.17281%
Lake,3,0.17281%
Integrated,3,0.17281%
CI,3,0.17281%
ETL,3,0.17281%
applications,3,0.17281%
Kinesis,3,0.17281%
NoSQL,3,0.17281%
JSON,3,0.17281%
our,3,0.17281%
it,3,0.17281%
Lambda,3,0.17281%
Development,3,0.17281%
Hbase,3,0.17281%
Hands,3,0.17281%
scheduling,3,0.17281%
loading,3,0.17281%
Implemented,3,0.17281%
log,3,0.17281%
tuning,3,0.17281%
memory,3,0.17281%
Configured,3,0.17281%
Handled,3,0.17281%
HiveQL,3,0.17281%
cloud,3,0.17281%
nodes,3,0.17281%
pipeline,3,0.17281%
Developed,3,0.17281%
Unix,3,0.17281%
jobs,3,0.17281%
tables,3,0.17281%
EDUCATION,2,0.11520%
Java,2,0.11520%
Continuous,2,0.11520%
Integration,2,0.11520%
Test,2,0.11520%
Unit,2,0.11520%
AMAZON,2,0.11520%
DATABASE,2,0.11520%
Orc,2,0.11520%
