word,count,weight
data,114,5.544
using,54,2.626
spark,42,2.042
hdfs,29,1.410
hive,29,1.410
hadoop,26,1.264
worked,19,0.924
sql,18,0.875
pig,16,0.778
cluster,16,0.778
sqoop,15,0.729
kafka,15,0.729
oozie,15,0.729
experience,13,0.632
developed,12,0.583
performance,11,0.535
created,11,0.535
streaming,11,0.535
big,11,0.535
processing,10,0.486
management,10,0.486
python,9,0.437
etl,9,0.437
queries,9,0.437
apache,9,0.437
database,8,0.389
workflows,8,0.389
log,8,0.389
server,8,0.389
aws,8,0.389
system,8,0.389
files,7,0.340
implemented,7,0.340
mysql,7,0.340
hbase,7,0.340
cluster.,7,0.340
apple,7,0.340
business,7,0.340
involved,7,0.340
kafka.,7,0.340
jobs,7,0.340
data.,6,0.291
sources,6,0.291
environment:,6,0.291
designed,6,0.291
installed,6,0.291
zeppelin,6,0.291
analytics,6,0.291
design,6,0.291
api,6,0.291
tuning,6,0.291
cloudera,6,0.291
test,6,0.291
flume,6,0.291
tables,6,0.291
databases,6,0.291
systems,5,0.243
oracle,5,0.243
engineer,5,0.243
scripts,5,0.243
realtime,5,0.243
mongodb,5,0.243
testing,5,0.243
development,5,0.243
may,5,0.243
load,5,0.243
configured,5,0.243
reports,5,0.243
time,5,0.243
performed,5,0.243
application,5,0.243
dashboards,5,0.243
managed,4,0.194
imported,4,0.194
script,4,0.194
cassandra,4,0.194
yarn,4,0.194
sentry,4,0.194
hdfs.,4,0.194
source,4,0.194
storm,4,0.194
teradata,4,0.194
ssis,4,0.194
azkaban,4,0.194
creating,4,0.194
large,4,0.194
run,4,0.194
integrated,4,0.194
queries.,4,0.194
distributed,4,0.194
wrote,4,0.194
built,4,0.194
tableau,4,0.194
monitoring,4,0.194
zookeeper,4,0.194
multiple,4,0.194
partitioning,4,0.194
structured,4,0.194
stream,4,0.194
code,4,0.194
new,4,0.194
based,4,0.194
building,4,0.194
complex,4,0.194
analysis,4,0.194
workflow,4,0.194
kerberos,4,0.194
quality,3,0.145
pipelines,3,0.145
parquet,3,0.145
external,3,0.145
servers,3,0.145
2012,3,0.145
proprietary,3,0.145
implementation,3,0.145
services,3,0.145
sqoop.,3,0.145
custom,3,0.145
extract,3,0.145
framework,3,0.145
transfer,3,0.145
flow,3,0.145
ingestion,3,0.145
made,3,0.145
bi,3,0.145
replication,3,0.145
hive.,3,0.145
architecture,3,0.145
ensure,3,0.145
bucket,3,0.145
executed,3,0.145
platform,3,0.145
reporting,3,0.145
scheduling,3,0.145
importing,3,0.145
repository,3,0.145
rdds,3,0.145
table,3,0.145
automate,3,0.145
daily,3,0.145
optimization,3,0.145
storage,3,0.145
dataframes,3,0.145
working,3,0.145
analysis.,3,0.145
ec2,3,0.145
connect,3,0.145
transformations,3,0.145
driver,3,0.145
web,3,0.145
store,2,0.097
dec,2,0.097
metrics,2,0.097
spark.,2,0.097
predictix,2,0.097
developers,2,0.097
ovation,2,0.097
work,2,0.097
apis.,2,0.097
production,2,0.097
transferred,2,0.097
clients,2,0.097
manager,2,0.097
2015,2,0.097
engine,2,0.097
analyst,2,0.097
compile,2,0.097
developing,2,0.097
impala,2,0.097
process,2,0.097
like,2,0.097
emr,2,0.097
cdh,2,0.097
datasets,2,0.097
informatica,2,0.097
secure,2,0.097
changes,2,0.097
authentication,2,0.097
materialized,2,0.097
create,2,0.097
ecosystem,2,0.097
developer,2,0.097
applications,2,0.097
variety,2,0.097
migrated,2,0.097
generic,2,0.097
real,2,0.097
cdc,2,0.097
instance,2,0.097
responsible,2,0.097
expertise,2,0.097
paybook,2,0.097
processes,2,0.097
am,2,0.097
flume.,2,0.097
professional,2,0.097
execution,2,0.097
aug,2,0.097
model,2,0.097
views,2,0.097
planning,2,0.097
deploying,2,0.097
functions,2,0.097
privileges,2,0.097
enterprise,2,0.097
scala,2,0.097
programs,2,0.097
high,2,0.097
availability,2,0.097
participated,2,0.097
live,2,0.097
writing,2,0.097
filesday,2,0.097
moving,2,0.097
tables.,2,0.097
clusters.,2,0.097
environment,2,0.097
processing.,2,0.097
develop,2,0.097
setting,2,0.097
travel,2,0.097
scheduled,2,0.097
environments.,2,0.097
product,2,0.097
index,2,0.097
gzip,2,0.097
rdbms,2,0.097
including,2,0.097
node,2,0.097
adhoc,2,0.097
talend,2,0.097
vmware,2,0.097
loading,2,0.097
buckets,2,0.097
coordinating,2,0.097
json,2,0.097
central,2,0.097
export,2,0.097
transformed,2,0.097
requirements.,2,0.097
collections,2,0.097
security,2,0.097
years,2,0.097
effective,2,0.097
focused,2,0.097
name,2,0.097
query,2,0.097
falcon,2,0.097
job,2,0.097
anaconda,2,0.097
warehouse,2,0.097
administration.,2,0.097
build,2,0.097
maintained,2,0.097
administration,2,0.097
linux,2,0.097
staging,2,0.097
transform,2,0.097
dynamic,2,0.097
partitions,2,0.097
scala.,2,0.097
extensively,2,0.097
memory,2,0.097
tools.,2,0.097
process.,2,0.097
camel,2,0.097
jan,2,0.097
faster,2,0.097
handling,2,0.097
scheduler,2,0.097
tde,2,0.097
enabled,2,0.097
s3,2,0.097
cloud,2,0.097
visualizations,2,0.097
way,2,0.097
instances,2,0.097
regular,2,0.097
indexes,2,0.097
converting,2,0.097
import,2,0.097
integration,2,0.097
storing,2,0.097
clusters,2,0.097
pipeline,2,0.097
nodes,2,0.097
project,2,0.097
support,2,0.097
correct,2,0.097
2010,2,0.097
2016,2,0.097
troubleshooting,2,0.097
configuration,2,0.097
bucketing,2,0.097
advanced,2,0.097
virtual,2,0.097
small,2,0.097
lake,2,0.097
joins,2,0.097
extensive,2,0.097
rdd,2,0.097
report,2,0.097
loaded,2,0.097
platforms.,1,0.048
capable,1,0.048
tools,1,0.048
tune,1,0.048
semistructured,1,0.048
cards,1,0.048
backed,1,0.048
metadata,1,0.048
rdd.,1,0.048
n.c.,1,0.048
risk,1,0.048
guide,1,0.048
decisions.,1,0.048
economy,1,0.048
con,1,0.048
2017,1,0.048
sentry.,1,0.048
hiveql.,1,0.048
aggregation.,1,0.048
travelers,1,0.048
business.,1,0.048
task,1,0.048
consumed,1,0.048
connection,1,0.048
jul,1,0.048
constraints,1,0.048
results,1,0.048
eds,1,0.048
wainpure,1,0.048
drill,1,0.048
"",1,0.048
ca,1,0.048
broker.,1,0.048
kerberos.,1,0.048
space,1,0.048
machine,1,0.048
learning,1,0.048
algorithms,1,0.048
graph,1,0.048
blocks,1,0.048
20,1,0.048
120node,1,0.048
archival,1,0.048
stored,1,0.048
analytical,1,0.048
views.,1,0.048
native,1,0.048
standards,1,0.048
delivery,1,0.048
customer,1,0.048
centered,1,0.048
consulting,1,0.048
dbs.,1,0.048
metrics.,1,0.048
resource,1,0.048
service,1,0.048
e.g.,1,0.048
serialization,1,0.048
s3.,1,0.048
dashboard,1,0.048
development.,1,0.048
10,1,0.048
transformhdfsnas,1,0.048
nosqlwebhtml,1,0.048
set,1,0.048
installation,1,0.048
independently,1,0.048
requests,1,0.048
2014,1,0.048
cleaning.,1,0.048
hardware,1,0.048
compressions,1,0.048
mongodb.,1,0.048
social,1,0.048
monthly,1,0.048
flat,1,0.048
groups,1,0.048
exception,1,0.048
carbondale,1,0.048
qubole,1,0.048
technical,1,0.048
talendnodes,1,0.048
azure,1,0.048
apatar,1,0.048
apple’s,1,0.048
notes,1,0.048
notes.,1,0.048
broker,1,0.048
schema.,1,0.048
cases,1,0.048
selfservice,1,0.048
viceversa,1,0.048
beach,1,0.048
disaster,1,0.048
databases.,1,0.048
excellent,1,0.048
ecosystems,1,0.048
travel–,1,0.048
billing,1,0.048
derived,1,0.048
transformation,1,0.048
complete,1,0.048
upstream,1,0.048
flowing,1,0.048
instances.,1,0.048
bb&t.,1,0.048
context,1,0.048
calculations,1,0.048
manipulate,1,0.048
deploy,1,0.048
content,1,0.048
budget.,1,0.048
edsebi.,1,0.048
lucidchart,1,0.048
modules,1,0.048
permissions.,1,0.048
dynamodb.,1,0.048
activities.,1,0.048
vast,1,0.048
existing,1,0.048
elastisearch,1,0.048
architectural,1,0.048
cleansing.,1,0.048
beautifulsoup,1,0.048
interactive,1,0.048
hands,1,0.048
2008,1,0.048
efficient,1,0.048
2018,1,0.048
control.,1,0.048
marketing,1,0.048
investments.,1,0.048
processes.,1,0.048
parallelism,1,0.048
selection,1,0.048
ambari,1,0.048
format;,1,0.048
pulling,1,0.048
tool,1,0.048
workflows.,1,0.048
defect,1,0.048
integrating,1,0.048
sanorc,1,0.048
css<,1,0.048
app,1,0.048
gbi,1,0.048
side,1,0.048
handson,1,0.048
fetching,1,0.048
manager.,1,0.048
mentored,1,0.048
compress,1,0.048
300gbday,1,0.048
media,1,0.048
jobs.,1,0.048
timely,1,0.048
managers.,1,0.048
features,1,0.048
encryption,1,0.048
southern,1,0.048
impalainformatica,1,0.048
elasticcloud,1,0.048
cloudsqoop,1,0.048
stitch,1,0.048
pdi,1,0.048
python.,1,0.048
schedules,1,0.048
apply,1,0.048
solutions,1,0.048
mirroring,1,0.048
topologies,1,0.048
migration,1,0.048
containing,1,0.048
monitored,1,0.048
utilization,1,0.048
end,1,0.048
