word,count,weight
data,97,4.65451%
using,53,2.54318%
Spark,41,1.96737%
HDFS,29,1.39155%
Hadoop,25,1.19961%
Hive,25,1.19961%
Data,17,0.81573%
SQL,17,0.81573%
Worked,16,0.76775%
Sqoop,15,0.71976%
Oozie,15,0.71976%
cluster,15,0.71976%
Kafka,15,0.71976%
Pig,14,0.67178%
Used,12,0.57581%
processing,10,0.47984%
Created,10,0.47984%
management,10,0.47984%
Developed,10,0.47984%
ETL,9,0.43186%
Experience,9,0.43186%
Apache,9,0.43186%
performance,8,0.38387%
Python,8,0.38387%
big,8,0.38387%
workflows,7,0.33589%
queries,7,0.33589%
Kafka.,7,0.33589%
Apple,7,0.33589%
Streaming,7,0.33589%
AWS,7,0.33589%
jobs,7,0.33589%
data.,6,0.28790%
files,6,0.28790%
database,6,0.28790%
Zeppelin,6,0.28790%
cluster.,6,0.28790%
business,6,0.28790%
Flume,6,0.28790%
API,6,0.28790%
Implemented,6,0.28790%
tuning,6,0.28790%
log,6,0.28790%
Server,6,0.28790%
Cloudera,6,0.28790%
Environment:,6,0.28790%
tables,6,0.28790%
system,6,0.28790%
real-time,5,0.23992%
scripts,5,0.23992%
systems,5,0.23992%
sources,5,0.23992%
Designed,5,0.23992%
Engineer,5,0.23992%
analytics,5,0.23992%
May,5,0.23992%
MongoDB,5,0.23992%
reports,5,0.23992%
time,5,0.23992%
Installed,5,0.23992%
test,5,0.23992%
application,5,0.23992%
HBase,5,0.23992%
MySQL,5,0.23992%
dashboards,5,0.23992%
Design,4,0.19193%
script,4,0.19193%
Wrote,4,0.19193%
Performed,4,0.19193%
experience,4,0.19193%
SSIS,4,0.19193%
testing,4,0.19193%
Cassandra,4,0.19193%
large,4,0.19193%
Involved,4,0.19193%
development,4,0.19193%
Oracle,4,0.19193%
run,4,0.19193%
Zookeeper,4,0.19193%
distributed,4,0.19193%
Teradata,4,0.19193%
Tableau,4,0.19193%
This,4,0.19193%
Azkaban,4,0.19193%
multiple,4,0.19193%
structured,4,0.19193%
HDFS.,4,0.19193%
code,4,0.19193%
stream,4,0.19193%
streaming,4,0.19193%
Storm,4,0.19193%
Kerberos,4,0.19193%
based,4,0.19193%
complex,4,0.19193%
analysis,4,0.19193%
databases,4,0.19193%
building,4,0.19193%
Sentry,4,0.19193%
workflow,4,0.19193%
pipelines,3,0.14395%
external,3,0.14395%
proprietary,3,0.14395%
managed,3,0.14395%
servers,3,0.14395%
Integrated,3,0.14395%
2012,3,0.14395%
quality,3,0.14395%
Built,3,0.14395%
Monitoring,3,0.14395%
custom,3,0.14395%
implementation,3,0.14395%
Performance,3,0.14395%
queries.,3,0.14395%
creating,3,0.14395%
worked,3,0.14395%
flow,3,0.14395%
ingestion,3,0.14395%
made,3,0.14395%
transfer,3,0.14395%
DataFrames,3,0.14395%
scheduling,3,0.14395%
ensure,3,0.14395%
load,3,0.14395%
daily,3,0.14395%
repository,3,0.14395%
YARN,3,0.14395%
Configured,3,0.14395%
Imported,3,0.14395%
involved,3,0.14395%
EC2,3,0.14395%
importing,3,0.14395%
driver,3,0.14395%
new,3,0.14395%
BI,3,0.14395%
analysis.,3,0.14395%
transformations,3,0.14395%
Big,3,0.14395%
RDDs,3,0.14395%
Query,2,0.09596%
Developer,2,0.09596%
ad-hoc,2,0.09596%
2015,2,0.09596%
Impala,2,0.09596%
store,2,0.09596%
Lake,2,0.09596%
Hive.,2,0.09596%
metrics,2,0.09596%
compile,2,0.09596%
developing,2,0.09596%
Spark.,2,0.09596%
work,2,0.09596%
engine,2,0.09596%
like,2,0.09596%
Databases,2,0.09596%
