word,count,weight
and,169,5.69215%
data,104,3.50286%
to,93,3.13236%
the,69,2.32401%
for,56,1.88615%
using,54,1.81879%
in,51,1.71775%
Spark,46,1.54934%
on,41,1.38093%
of,40,1.34725%
HDFS,34,1.14516%
from,32,1.07780%
Hive,32,1.07780%
Hadoop,30,1.01044%
a,28,0.94307%
with,25,0.84203%
SQL,24,0.80835%
Kafka,23,0.77467%
cluster,21,0.70730%
into,20,0.67362%
Sqoop,18,0.60626%
Data,17,0.57258%
Worked,16,0.53890%
Oozie,15,0.50522%
Pig,14,0.47153%
processing,12,0.40417%
Apache,12,0.40417%
time,12,0.40417%
Used,12,0.40417%
ETL,11,0.37049%
queries,11,0.37049%
various,10,0.33681%
Created,10,0.33681%
management,10,0.33681%
Python,10,0.33681%
Developed,10,0.33681%
Streaming,10,0.33681%
files,9,0.30313%
Experience,9,0.30313%
I,9,0.30313%
Flume,9,0.30313%
AWS,9,0.30313%
performance,8,0.26945%
real,8,0.26945%
workflows,8,0.26945%
Zeppelin,8,0.26945%
Apple,8,0.26945%
big,8,0.26945%
jobs,8,0.26945%
tables,8,0.26945%
as,7,0.23576%
Environment,7,0.23576%
business,7,0.23576%
tuning,7,0.23576%
Server,7,0.23576%
analysis,7,0.23576%
systems,6,0.20208%
that,6,0.20208%
database,6,0.20208%
Tableau,6,0.20208%
used,6,0.20208%
API,6,0.20208%
log,6,0.20208%
MongoDB,6,0.20208%
Implemented,6,0.20208%
reports,6,0.20208%
is,6,0.20208%
Cloudera,6,0.20208%
based,6,0.20208%
system,6,0.20208%
MySQL,6,0.20208%
scripts,5,0.16840%
sources,5,0.16840%
which,5,0.16840%
Designed,5,0.16840%
development,5,0.16840%
large,5,0.16840%
Engineer,5,0.16840%
Involved,5,0.16840%
Oracle,5,0.16840%
Azkaban,5,0.16840%
Scala,5,0.16840%
analytics,5,0.16840%
different,5,0.16840%
May,5,0.16840%
structured,5,0.16840%
between,5,0.16840%
Installed,5,0.16840%
Kerberos,5,0.16840%
test,5,0.16840%
Sentry,5,0.16840%
HBase,5,0.16840%
RDDs,5,0.16840%
application,5,0.16840%
databases,5,0.16840%
dashboards,5,0.16840%
Design,4,0.13472%
quality,4,0.13472%
an,4,0.13472%
process,4,0.13472%
Wrote,4,0.13472%
script,4,0.13472%
s,4,0.13472%
Performed,4,0.13472%
servers,4,0.13472%
experience,4,0.13472%
testing,4,0.13472%
Cassandra,4,0.13472%
SSIS,4,0.13472%
use,4,0.13472%
Zookeeper,4,0.13472%
run,4,0.13472%
distributed,4,0.13472%
This,4,0.13472%
Teradata,4,0.13472%
day,4,0.13472%
multiple,4,0.13472%
code,4,0.13472%
stream,4,0.13472%
streaming,4,0.13472%
Storm,4,0.13472%
transformations,4,0.13472%
complex,4,0.13472%
building,4,0.13472%
Database,4,0.13472%
workflow,4,0.13472%
tools,3,0.10104%
pipelines,3,0.10104%
Impala,3,0.10104%
Cloud,3,0.10104%
proprietary,3,0.10104%
Integrated,3,0.10104%
external,3,0.10104%
them,3,0.10104%
managed,3,0.10104%
metrics,3,0.10104%
2012,3,0.10104%
implementation,3,0.10104%
through,3,0.10104%
custom,3,0.10104%
applications,3,0.10104%
Talend,3,0.10104%
Virtual,3,0.10104%
Monitoring,3,0.10104%
Built,3,0.10104%
processes,3,0.10104%
APIs,3,0.10104%
creating,3,0.10104%
Performance,3,0.10104%
worked,3,0.10104%
transfer,3,0.10104%
made,3,0.10104%
flow,3,0.10104%
ingestion,3,0.10104%
HIVE,3,0.10104%
Queries,3,0.10104%
effective,3,0.10104%
ensure,3,0.10104%
scheduling,3,0.10104%
DataFrames,3,0.10104%
Files,3,0.10104%
administration,3,0.10104%
YARN,3,0.10104%
Informatica,3,0.10104%
EC2,3,0.10104%
repository,3,0.10104%
