word,count_0,weight_0,count_1,weight_1,count_2,weight_2,count_3,weight_3,total,total-weight
data,114,5.544,81,3.966,82,5.836,68,6.215,345,32.683
spark,42,2.042,38,1.860,45,3.202,30,2.742,155,14.925
using,54,2.626,46,2.252,27,1.921,26,2.376,153,13.908
hadoop,26,1.264,23,1.126,22,1.565,19,1.736,90,8.627
hive,29,1.410,25,1.224,14,0.996,13,1.188,81,7.303
hdfs,29,1.410,19,0.930,11,0.782,9,0.822,68,5.978
apache,9,0.437,33,1.616,13,0.925,10,0.914,65,5.9
worked,19,0.924,17,0.832,6,0.427,13,1.188,55,5.11
aws,8,0.389,5,0.244,13,0.925,27,2.468,53,6.103
big,11,0.535,6,0.293,17,1.209,18,1.645,52,5.581
streaming,11,0.535,11,0.538,15,1.067,13,1.188,50,5.045
kafka,15,0.729,5,0.244,13,0.925,14,1.279,47,4.816
sql,18,0.875,15,0.734,9,0.640,5,0.457,47,4.102
sqoop,15,0.729,12,0.587,8,0.569,7,0.639,42,3.826
pig,16,0.778,19,0.930,6,0.427,0,"",41,""
cluster,16,0.778,6,0.293,3,0.213,14,1.279,39,3.885
developed,12,0.583,14,0.685,4,0.284,3,0.274,33,2.768
experience,13,0.632,7,0.342,8,0.569,5,0.457,33,3.032
oozie,15,0.729,9,0.440,4,0.284,3,0.274,31,2.618
implemented,7,0.340,14,0.685,7,0.498,3,0.274,31,2.724
processing,10,0.486,6,0.293,10,0.711,5,0.457,31,2.951
cloud,2,0.097,7,0.342,14,0.996,7,0.639,30,3.144
etl,9,0.437,9,0.440,5,0.355,3,0.274,26,2.283
created,11,0.535,10,0.489,2,0.142,2,0.182,25,2.043
hbase,7,0.340,10,0.489,5,0.355,2,0.182,24,2.071
database,8,0.389,6,0.293,4,0.284,6,0.548,24,2.295
involved,7,0.340,14,0.685,2,0.142,0,"",23,""
system,8,0.389,7,0.342,3,0.213,5,0.457,23,2.124
analysis,4,0.194,9,0.440,7,0.498,2,0.182,22,1.992
queries,9,0.437,9,0.440,2,0.142,2,0.182,22,1.821
business,7,0.340,7,0.342,5,0.355,2,0.182,21,1.848
analytics,6,0.291,7,0.342,6,0.427,1,0.091,20,1.745
files,7,0.340,5,0.244,3,0.213,5,0.457,20,1.901
services,3,0.145,6,0.293,7,0.498,4,0.365,20,1.972
performance,11,0.535,1,0.048,4,0.284,4,0.365,20,1.868
python,9,0.437,7,0.342,1,0.071,3,0.274,20,1.704
cloudera,6,0.291,4,0.195,3,0.213,6,0.548,19,1.89
cassandra,4,0.194,7,0.342,5,0.355,3,0.274,19,1.766
