word,count,weight
data,82,5.836
spark,45,3.202
using,27,1.921
hadoop,22,1.565
big,17,1.209
streaming,15,1.067
hive,14,0.996
cloud,14,0.996
apache,13,0.925
aws,13,0.925
kafka,13,0.925
hdfs,11,0.782
processing,10,0.711
sql,9,0.640
experience,8,0.569
iot,8,0.569
sqoop,8,0.569
services,7,0.498
implemented,7,0.498
project,7,0.498
analysis,7,0.498
web,7,0.498
pipelines,6,0.427
like,6,0.427
worked,6,0.427
google,6,0.427
pig,6,0.427
amazon,6,0.427
redshift,6,0.427
analytics,6,0.427
batch,6,0.427
cassandra,5,0.355
service,5,0.355
tools,5,0.355
etl,5,0.355
hbase,5,0.355
zookeeper,5,0.355
business,5,0.355
company,5,0.355
databases,5,0.355
rdd,5,0.355
performance,4,0.284
data.,4,0.284
realtime,4,0.284
altice,4,0.284
science,4,0.284
usa,4,0.284
database,4,0.284
environment,4,0.284
architecture,4,0.284
api,4,0.284
technologies:,4,0.284
developed,4,0.284
partitioning,4,0.284
tuning,4,0.284
stakeholders,4,0.284
time,4,0.284
clusters,4,0.284
new,4,0.284
ec2,4,0.284
based,4,0.284
flume,4,0.284
oozie,4,0.284
loaded,4,0.284
technology,3,0.213
learning,3,0.213
files,3,0.213
custom,3,0.213
southern,3,0.213
jobs.,3,0.213
transformation,3,0.213
hdfs.,3,0.213
states.,3,0.213
sources,3,0.213
sqoop.,3,0.213
utility,3,0.213
gather,3,0.213
teradata,3,0.213
large,3,0.213
lakes,3,0.213
kibana,3,0.213
processes,3,0.213
development,3,0.213
kinesis,3,0.213
ingestion,3,0.213
dataflow,3,0.213
javascript,3,0.213
processing.,3,0.213
requirements,3,0.213
engineering,3,0.213
nosql,3,0.213
modern,3,0.213
providers,3,0.213
university,3,0.213
cloudera,3,0.213
extensively,3,0.213
skills,3,0.213
stream,3,0.213
implement,3,0.213
bridgeport,3,0.213
search,3,0.213
scientists,3,0.213
optimization,3,0.213
s3,3,0.213
transformations,3,0.213
ny,3,0.213
pipeline,3,0.213
system,3,0.213
computer,3,0.213
cluster,3,0.213
oracle,2,0.142
azure,2,0.142
semistructured,2,0.142
emr,2,0.142
bootstrap,2,0.142
imported,2,0.142
frame,2,0.142
gpa:,2,0.142
engineer,2,0.142
meetings.,2,0.142
databases.,2,0.142
datasets,2,0.142
systems,2,0.142
engine,2,0.142
customer,2,0.142
aurora,2,0.142
interactive,2,0.142
real,2,0.142
advertising,2,0.142
india,2,0.142
applications,2,0.142
gas,2,0.142
storm,2,0.142
run,2,0.142
elasticsearch,2,0.142
solr,2,0.142
plsql,2,0.142
internet,2,0.142
created,2,0.142
views,2,0.142
parallel,2,0.142
architected,2,0.142
planning,2,0.142
scala,2,0.142
professional,2,0.142
implementing,2,0.142
container,2,0.142
projects.,2,0.142
built,2,0.142
migrations,2,0.142
tableau,2,0.142
talend,2,0.142
map,2,0.142
actions,2,0.142
workflows,2,0.142
largest,2,0.142
assisted,2,0.142
bigquery,2,0.142
status,2,0.142
review,2,0.142
hive.,2,0.142
rdbms,2,0.142
understanding,2,0.142
mapreduce,2,0.142
wrote,2,0.142
queries,2,0.142
years,2,0.142
closely,2,0.142
warehouse,2,0.142
known,2,0.142
loading,2,0.142
design,2,0.142
query,2,0.142
physics,2,0.142
facilitated,2,0.142
slomin’s,2,0.142
successfully,2,0.142
ct,2,0.142
nanotechnology,2,0.142
join,2,0.142
applications.,2,0.142
analysts,2,0.142
setup,2,0.142
relational,2,0.142
order,2,0.142
atlanta,2,0.142
server,2,0.142
involved,2,0.142
structured,2,0.142
code,2,0.142
faster,2,0.142
dynamodb,2,0.142
build,2,0.142
unix,2,0.142
disparate,2,0.142
periodic,2,0.142
amity,2,0.142
architect,2,0.142
frameworks,2,0.142
performed,2,0.142
kafka.,2,0.142
society,2,0.142
united,2,0.142
acquisitions,2,0.142
elk,2,0.142
