word,count,weight
data,50,3.51123%
Spark,44,3.08988%
Data,31,2.17696%
using,27,1.89606%
Hadoop,22,1.54494%
Apache,13,0.91292%
Kafka,13,0.91292%
AWS,13,0.91292%
Cloud,12,0.84269%
Hive,12,0.84269%
HDFS,11,0.77247%
processing,9,0.63202%
Big,9,0.63202%
Streaming,9,0.63202%
Sqoop,8,0.56179%
SQL,8,0.56179%
big,7,0.49157%
pipelines,6,0.42134%
like,6,0.42134%
Google,6,0.42134%
streaming,6,0.42134%
project,6,0.42134%
Amazon,6,0.42134%
Redshift,6,0.42134%
analysis,6,0.42134%
ETL,5,0.35112%
Cassandra,5,0.35112%
Experience,5,0.35112%
Zookeeper,5,0.35112%
analytics,5,0.35112%
IoT,5,0.35112%
batch,5,0.35112%
RDD,5,0.35112%
Implemented,5,0.35112%
Pig,5,0.35112%
Worked,5,0.35112%
Used,5,0.35112%
Web,5,0.35112%
data.,4,0.28089%
service,4,0.28089%
USA,4,0.28089%
Services,4,0.28089%
environment,4,0.28089%
Flume,4,0.28089%
Science,4,0.28089%
business,4,0.28089%
EC2,4,0.28089%
stakeholders,4,0.28089%
API,4,0.28089%
time,4,0.28089%
Oozie,4,0.28089%
based,4,0.28089%
Developed,4,0.28089%
databases,4,0.28089%
Technologies:,4,0.28089%
HBase,4,0.28089%
Altice,4,0.28089%
performance,3,0.21067%
real-time,3,0.21067%
tools,3,0.21067%
Kinesis,3,0.21067%
transformation,3,0.21067%
jobs.,3,0.21067%
custom,3,0.21067%
services,3,0.21067%
utility,3,0.21067%
sources,3,0.21067%
NoSQL,3,0.21067%
large,3,0.21067%
University,3,0.21067%
gather,3,0.21067%
NY,3,0.21067%
DataFlow,3,0.21067%
database,3,0.21067%
ingestion,3,0.21067%
Teradata,3,0.21067%
architecture,3,0.21067%
Bridgeport,3,0.21067%
JavaScript,3,0.21067%
requirements,3,0.21067%
providers,3,0.21067%
company,3,0.21067%
Computer,3,0.21067%
implement,3,0.21067%
stream,3,0.21067%
HDFS.,3,0.21067%
S3,3,0.21067%
The,3,0.21067%
optimization,3,0.21067%
loaded,3,0.21067%
system,3,0.21067%
cluster,3,0.21067%
Lakes,2,0.14044%
files,2,0.14044%
datasets,2,0.14044%
learning,2,0.14044%
technology,2,0.14044%
Wrote,2,0.14044%
Atlanta,2,0.14044%
customer,2,0.14044%
systems,2,0.14044%
MapReduce,2,0.14044%
meetings.,2,0.14044%
Hortonworks,2,0.14044%
engine,2,0.14044%
databases.,2,0.14044%
Query,2,0.14044%
Scripting,2,0.14044%
Built,2,0.14044%
Created,2,0.14044%
Bucketing,2,0.14044%
implemented,2,0.14044%
Successfully,2,0.14044%
Viacom,2,0.14044%
Engineering,2,0.14044%
applications,2,0.14044%
Southern,2,0.14044%
gas,2,0.14044%
experience,2,0.14044%
Years,2,0.14044%
Talend,2,0.14044%
Tools,2,0.14044%
interactive,2,0.14044%
ArangoDB,2,0.14044%
advertising,2,0.14044%
implementing,2,0.14044%
Warehouse,2,0.14044%
DynamoDB,2,0.14044%
views,2,0.14044%
Pipeline,2,0.14044%
Partitioning,2,0.14044%
parallel,2,0.14044%
Oracle,2,0.14044%
India,2,0.14044%
run,2,0.14044%
Society,2,0.14044%
Architected,2,0.14044%
Azure,2,0.14044%
BigQuery,2,0.14044%
