word,count,weight
and,95,4.70996%
data,61,3.02429%
Spark,55,2.72682%
to,53,2.62766%
for,40,1.98314%
in,34,1.68567%
of,33,1.63609%
the,33,1.63609%
Data,31,1.53693%
using,29,1.43777%
with,27,1.33862%
on,23,1.14030%
Hadoop,22,1.09072%
Kafka,17,0.84283%
SQL,15,0.74367%
from,15,0.74367%
Hive,15,0.74367%
AWS,15,0.74367%
HDFS,14,0.69410%
Apache,13,0.64452%
Cloud,12,0.59494%
processing,12,0.59494%
Streaming,12,0.59494%
Sqoop,11,0.54536%
analysis,10,0.49578%
as,9,0.44620%
streaming,9,0.44620%
Big,9,0.44620%
time,8,0.39662%
Used,8,0.39662%
4,7,0.34705%
by,7,0.34705%
big,7,0.34705%
Amazon,7,0.34705%
pipelines,6,0.29747%
like,6,0.29747%
Google,6,0.29747%
0,6,0.29747%
analytics,6,0.29747%
IoT,6,0.29747%
batch,6,0.29747%
is,6,0.29747%
project,6,0.29747%
based,6,0.29747%
databases,6,0.29747%
Redshift,6,0.29747%
ETL,5,0.24789%
s,5,0.24789%
an,5,0.24789%
Cassandra,5,0.24789%
a,5,0.24789%
real,5,0.24789%
applications,5,0.24789%
Experience,5,0.24789%
Zookeeper,5,0.24789%
environment,5,0.24789%
Implemented,5,0.24789%
Pig,5,0.24789%
RDD,5,0.24789%
Worked,5,0.24789%
Slomin,5,0.24789%
HBase,5,0.24789%
Web,5,0.24789%
service,4,0.19831%
engine,4,0.19831%
USA,4,0.19831%
ENGINEER,4,0.19831%
transformation,4,0.19831%
custom,4,0.19831%
Services,4,0.19831%
ingestion,4,0.19831%
it,4,0.19831%
Technologies,4,0.19831%
Flume,4,0.19831%
Science,4,0.19831%
business,4,0.19831%
requirements,4,0.19831%
Oozie,4,0.19831%
EC2,4,0.19831%
structured,4,0.19831%
API,4,0.19831%
BIG,4,0.19831%
company,4,0.19831%
stakeholders,4,0.19831%
S3,4,0.19831%
optimization,4,0.19831%
Developed,4,0.19831%
scientists,4,0.19831%
transformations,4,0.19831%
into,4,0.19831%
DATA,4,0.19831%
Altice,4,0.19831%
jobs,4,0.19831%
tools,3,0.14873%
performance,3,0.14873%
Wrote,3,0.14873%
2012,3,0.14873%
Kinesis,3,0.14873%
Built,3,0.14873%
their,3,0.14873%
such,3,0.14873%
ArangoDB,3,0.14873%
services,3,0.14873%
sources,3,0.14873%
utility,3,0.14873%
NoSQL,3,0.14873%
database,3,0.14873%
C,3,0.14873%
NY,3,0.14873%
gather,3,0.14873%
Set,3,0.14873%
DataFlow,3,0.14873%
BigQuery,3,0.14873%
large,3,0.14873%
University,3,0.14873%
Clusters,3,0.14873%
Teradata,3,0.14873%
architecture,3,0.14873%
Scala,3,0.14873%
actions,3,0.14873%
JavaScript,3,0.14873%
