word,count,weight
data,81,3.966
using,46,2.252
spark,38,1.860
apache,33,1.616
hive,25,1.224
hadoop,23,1.126
hdfs,19,0.930
pig,19,0.930
worked,17,0.832
java,15,0.734
sql,15,0.734
implemented,14,0.685
developed,14,0.685
involved,14,0.685
spring,12,0.587
sqoop,12,0.587
streaming,11,0.538
nifi,11,0.538
scripts,10,0.489
created,10,0.489
hbase,10,0.489
tables,10,0.489
etl,9,0.440
queries,9,0.440
transformations,9,0.440
oozie,9,0.440
analysis,9,0.440
oracle,8,0.391
wrote,8,0.391
design,8,0.391
cassandra,7,0.342
python,7,0.342
hdfs.,7,0.342
experience,7,0.342
scala,7,0.342
mapreduce,7,0.342
analytics,7,0.342
business,7,0.342
unix,7,0.342
cloud,7,0.342
system,7,0.342
custom,6,0.293
processing,6,0.293
services,6,0.293
plsql,6,0.293
database,6,0.293
storm,6,0.293
map,6,0.293
processing.,6,0.293
javascript,6,0.293
shell,6,0.293
reduce,6,0.293
code,6,0.293
cluster,6,0.293
big,6,0.293
web,6,0.293
files,5,0.244
process,5,0.244
like,5,0.244
engine,5,0.244
testing,5,0.244
applications,5,0.244
mvc,5,0.244
real,5,0.244
sources,5,0.244
responsible,5,0.244
environment:,5,0.244
management,5,0.244
maven,5,0.244
perform,5,0.244
api,5,0.244
may,5,0.244
time,5,0.244
aws,5,0.244
flume,5,0.244
kafka,5,0.244
rdd,5,0.244
yarn,4,0.195
cdh,4,0.195
data.,4,0.195
tools,4,0.195
production,4,0.195
stored,4,0.195
developer,4,0.195
mysql,4,0.195
convert,4,0.195
writing,4,0.195
large,4,0.195
solr,4,0.195
programming,4,0.195
source,4,0.195
creating,4,0.195
actions,4,0.195
tableau,4,0.195
rdbms,4,0.195
running,4,0.195
designing,4,0.195
requirements,4,0.195
json,4,0.195
jsp,4,0.195
prepared,4,0.195
team,4,0.195
load,4,0.195
build,4,0.195
cloudera,4,0.195
structured,4,0.195
server,4,0.195
project,4,0.195
xml,4,0.195
file,4,0.195
unstructured,4,0.195
jobs,4,0.195
standards,3,0.146
parquet,3,0.146
format,3,0.146
impala,3,0.146
engineer,3,0.146
oltp,3,0.146
risk,3,0.146
technical,3,0.146
systems,3,0.146
external,3,0.146
informatica,3,0.146
realtime,3,0.146
ambari,3,0.146
tool,3,0.146
deploy,3,0.146
existing,3,0.146
dao,3,0.146
hibernate,3,0.146
solutions,3,0.146
create,3,0.146
implementing,3,0.146
development,3,0.146
teradata,3,0.146
handle,3,0.146
installed,3,0.146
log4j,3,0.146
migrating,3,0.146
kibana,3,0.146
programs,3,0.146
designed,3,0.146
setting,3,0.146
distributed,3,0.146
ajax,3,0.146
models,3,0.146
bi,3,0.146
environment,3,0.146
functional,3,0.146
agile,3,0.146
closely,3,0.146
zookeeper,3,0.146
udf's,3,0.146
5.5.1,3,0.146
importing,3,0.146
j2ee,3,0.146
scala.,3,0.146
extensively,3,0.146
analyzed,3,0.146
administration,3,0.146
configured,3,0.146
skills,3,0.146
application.,3,0.146
partitioning,3,0.146
dynamic,3,0.146
kafka.,3,0.146
integration,3,0.146
configuration,3,0.146
financial,3,0.146
clusters,3,0.146
analysis.,3,0.146
new,3,0.146
unit,3,0.146
guevara,3,0.146
client,3,0.146
requirement,3,0.146
pipelines,2,0.097
requirement.,2,0.097
distribution,2,0.097
vicenteayala1888@gmail.com,2,0.097
imported,2,0.097
udfs,2,0.097
hue,2,0.097
struts,2,0.097
azure,2,0.097
frame,2,0.097
2012,2,0.097
developing,2,0.097
css.,2,0.097
customer,2,0.097
persistence,2,0.097
elastic,2,0.097
library,2,0.097
2015,2,0.097
components,2,0.097
transformation,2,0.097
eclipse,2,0.097
jdk,2,0.097
functionality,2,0.097
train,2,0.097
control,2,0.097
packages,2,0.097
implementation,2,0.097
hands,2,0.097
sqoop.,2,0.097
orc,2,0.097
snappy,2,0.097
jobs.,2,0.097
[pic][pic][pic][pic][pic],2,0.097
blue,2,0.097
2008,2,0.097
ga,2,0.097
eclipse.,2,0.097
reports.,2,0.097
professional,2,0.097
integrated,2,0.097
verisign,2,0.097
sets,2,0.097
extract,2,0.097
language,2,0.097
elasticsearch,2,0.097
schema,2,0.097
huge,2,0.097
aug,2,0.097
extracted,2,0.097
enterprise,2,0.097
layer,2,0.097
processes,2,0.097
networks,2,0.097
run,2,0.097
jms,2,0.097
point,2,0.097
logging,2,0.097
parse,2,0.097
1.6,2,0.097
status,2,0.097
sigma,2,0.097
mexico,2,0.097
ingestion,2,0.097
understanding,2,0.097
level,2,0.097
node,2,0.097
cluster.,2,0.097
contact,2,0.097
avro,2,0.097
scheduled,2,0.097
latin,2,0.097
managing,2,0.097
well,2,0.097
include,2,0.097
environments,2,0.097
database.,2,0.097
operations,2,0.097
name,2,0.097
prepare,2,0.097
jars,2,0.097
[pic][pic],2,0.097
aggregated,2,0.097
network,2,0.097
scheduling,2,0.097
loading,2,0.097
tasks,2,0.097
platform,2,0.097
sas,2,0.097
atlanta,2,0.097
automate,2,0.097
4703440250,2,0.097
objectoriented,2,0.097
office,2,0.097
daily,2,0.097
analyze,2,0.097
star,2,0.097
receive,2,0.097
weblogic,2,0.097
intelligence,2,0.097
scd2,2,0.097
procedures.,2,0.097
request,2,0.097
part,2,0.097
ambari.,2,0.097
cleansing,2,0.097
onboard,2,0.097
ejb,2,0.097
modified,2,0.097
junit,2,0.097
solutions.,2,0.097
scripting,2,0.097
lucene,2,0.097
handled,2,0.097
2010,2,0.097
coding,2,0.097
performed,2,0.097
dataframes,2,0.097
based,2,0.097
hadoop.,2,0.097
2016,2,0.097
maintenance,2,0.097
converting,2,0.097
3.0,2,0.097
visualization,2,0.097
platforms,2,0.097
apis,2,0.097
manage,2,0.097
industry.,2,0.097
[pic][pic][pic],2,0.097
loaded,2,0.097
vicente,2,0.097
back,2,0.097
workflow,2,0.097
application,2,0.097
advanced,2,0.097
hortonworks,2,0.097
architectengineer,2,0.097
interface,2,0.097
kerberos.,1,0.048
[pic][pic][pic][pic],1,0.048
hcatalog,1,0.048
updates,1,0.048
needs,1,0.048
quality,1,0.048
batches,1,0.048
input,1,0.048
validation,1,0.048
flat,1,0.048
messaging,1,0.048
framessql,1,0.048
sparksql,1,0.048
dec,1,0.048
notes,1,0.048
analytical,1,0.048
performance,1,0.048
fault,1,0.048
phone:,1,0.048
documents,1,0.048
semistructured,1,0.048
exception,1,0.048
set,1,0.048
uploaded,1,0.048
connecting,1,0.048
service,1,0.048
technology,1,0.048
etl.,1,0.048
kanban,1,0.048
scrum,1,0.048
spotfie,1,0.048
optimized,1,0.048
nonprimary,1,0.048
columns,1,0.048
hardware,1,0.048
manager,1,0.048
crud,1,0.048
ayala,1,0.048
drill,1,0.048
guide,1,0.048
configuring,1,0.048
