word,count,weight
and,164,5.84670%
to,79,2.81639%
the,75,2.67379%
data,70,2.49554%
in,53,1.88948%
for,48,1.71122%
using,46,1.63992%
of,39,1.39037%
Spark,39,1.39037%
Apache,33,1.17647%
on,29,1.03386%
HDFS,26,0.92691%
Hadoop,25,0.89126%
SQL,25,0.89126%
pic,25,0.89126%
Hive,24,0.85561%
with,20,0.71301%
into,19,0.67736%
from,17,0.60606%
Data,16,0.57040%
Worked,15,0.53475%
Java,14,0.49910%
as,14,0.49910%
Sqoop,14,0.49910%
Pig,14,0.49910%
Used,13,0.46345%
scripts,12,0.42780%
processing,12,0.42780%
Involved,12,0.42780%
Implemented,12,0.42780%
Developed,12,0.42780%
tables,12,0.42780%
a,11,0.39215%
Spring,11,0.39215%
queries,11,0.39215%
ETL,10,0.35650%
Scala,10,0.35650%
Oozie,10,0.35650%
analysis,9,0.32085%
s,8,0.28520%
Created,8,0.28520%
Oracle,8,0.28520%
Nifi,8,0.28520%
transformations,8,0.28520%
Kafka,8,0.28520%
MapReduce,7,0.24955%
custom,7,0.24955%
Cassandra,7,0.24955%
design,7,0.24955%
Python,7,0.24955%
analytics,7,0.24955%
HBase,7,0.24955%
cluster,7,0.24955%
Cloud,6,0.21390%
Wrote,6,0.21390%
files,6,0.21390%
various,6,0.21390%
sources,6,0.21390%
Experience,6,0.21390%
1,6,0.21390%
PL,6,0.21390%
5,6,0.21390%
running,6,0.21390%
JavaScript,6,0.21390%
different,6,0.21390%
time,6,0.21390%
code,6,0.21390%
Storm,6,0.21390%
streaming,6,0.21390%
Map,6,0.21390%
like,5,0.17825%
engine,5,0.17825%
MVC,5,0.17825%
Reduce,5,0.17825%
real,5,0.17825%
applications,5,0.17825%
by,5,0.17825%
solutions,5,0.17825%
services,5,0.17825%
JSP,5,0.17825%
Engineer,5,0.17825%
database,5,0.17825%
Tableau,5,0.17825%
XML,5,0.17825%
JSON,5,0.17825%
Environment,5,0.17825%
Flume,5,0.17825%
May,5,0.17825%
Ambari,5,0.17825%
API,5,0.17825%
Server,5,0.17825%
RDD,5,0.17825%
Responsible,5,0.17825%
structured,5,0.17825%
UNIX,5,0.17825%
Streaming,5,0.17825%
AWS,5,0.17825%
client,5,0.17825%
application,5,0.17825%
format,4,0.14260%
production,4,0.14260%
process,4,0.14260%
tool,4,0.14260%
this,4,0.14260%
large,4,0.14260%
convert,4,0.14260%
writing,4,0.14260%
creating,4,0.14260%
programs,4,0.14260%
HIVE,4,0.14260%
also,4,0.14260%
level,4,0.14260%
actions,4,0.14260%
Analyzed,4,0.14260%
environment,4,0.14260%
shell,4,0.14260%
perform,4,0.14260%
PIG,4,0.14260%
Eclipse,4,0.14260%
up,4,0.14260%
Cloudera,4,0.14260%
CDH,4,0.14260%
requirement,4,0.14260%
UDF,4,0.14260%
RDBMS,4,0.14260%
big,4,0.14260%
system,4,0.14260%
file,4,0.14260%
jobs,4,0.14260%
unstructured,4,0.14260%
MySQL,4,0.14260%
Web,4,0.14260%
Professional,3,0.10695%
Integration,3,0.10695%
tools,3,0.10695%
Unit,3,0.10695%
Solr,3,0.10695%
Impala,3,0.10695%
standards,3,0.10695%
DAO,3,0.10695%
external,3,0.10695%
stored,3,0.10695%
Developer,3,0.10695%
create,3,0.10695%
existing,3,0.10695%
testing,3,0.10695%
deploy,3,0.10695%
programming,3,0.10695%
handle,3,0.10695%
management,3,0.10695%
Teradata,3,0.10695%
setting,3,0.10695%
OLTP,3,0.10695%
models,3,0.10695%
J2EE,3,0.10695%
Hibernate,3,0.10695%
