word,count,weight
data,65,3.15227%
using,46,2.23084%
Spark,37,1.79437%
Apache,33,1.60038%
Hadoop,23,1.11542%
Hive,20,0.96993%
HDFS,19,0.92143%
Data,16,0.77594%
SQL,15,0.72744%
Worked,15,0.72744%
Java,14,0.67895%
Pig,13,0.63045%
Used,13,0.63045%
Involved,12,0.58195%
Sqoop,12,0.58195%
Implemented,12,0.58195%
Developed,12,0.58195%
Spring,11,0.53346%
scripts,10,0.48496%
tables,10,0.48496%
ETL,9,0.43646%
queries,9,0.43646%
Oozie,9,0.43646%
Created,8,0.38797%
Nifi,8,0.38797%
transformations,8,0.38797%
MapReduce,7,0.33947%
Cassandra,7,0.33947%
Oracle,7,0.33947%
Scala,7,0.33947%
Python,7,0.33947%
design,7,0.33947%
HDFS.,7,0.33947%
Wrote,6,0.29097%
Cloud,6,0.29097%
custom,6,0.29097%
Experience,6,0.29097%
processing.,6,0.29097%
JavaScript,6,0.29097%
analytics,6,0.29097%
Storm,6,0.29097%
PL/SQL,6,0.29097%
streaming,6,0.29097%
Map,6,0.29097%
HBase,6,0.29097%
analysis,6,0.29097%
files,5,0.24248%
like,5,0.24248%
MVC,5,0.24248%
engine,5,0.24248%
Reduce,5,0.24248%
processing,5,0.24248%
sources,5,0.24248%
services,5,0.24248%
May,5,0.24248%
RDD,5,0.24248%
time,5,0.24248%
code,5,0.24248%
API,5,0.24248%
Responsible,5,0.24248%
UNIX,5,0.24248%
Streaming,5,0.24248%
Kafka,5,0.24248%
cluster,5,0.24248%
Environment:,5,0.24248%
data.,4,0.19398%
process,4,0.19398%
applications,4,0.19398%
JSP,4,0.19398%
real,4,0.19398%
large,4,0.19398%
writing,4,0.19398%
convert,4,0.19398%
creating,4,0.19398%
HIVE,4,0.19398%
running,4,0.19398%
JSON,4,0.19398%
XML,4,0.19398%
Tableau,4,0.19398%
actions,4,0.19398%
Flume,4,0.19398%
perform,4,0.19398%
shell,4,0.19398%
PIG,4,0.19398%
structured,4,0.19398%
Server,4,0.19398%
Cloudera,4,0.19398%
CDH,4,0.19398%
unstructured,4,0.19398%
RDBMS,4,0.19398%
AWS,4,0.19398%
big,4,0.19398%
file,4,0.19398%
Web,4,0.19398%
system,4,0.19398%
production,3,0.14548%
standards,3,0.14548%
Solr,3,0.14548%
Impala,3,0.14548%
Unit,3,0.14548%
Integration,3,0.14548%
Developer,3,0.14548%
format,3,0.14548%
DAO,3,0.14548%
external,3,0.14548%
stored,3,0.14548%
tool,3,0.14548%
deploy,3,0.14548%
existing,3,0.14548%
testing,3,0.14548%
create,3,0.14548%
solutions,3,0.14548%
Engineer,3,0.14548%
management,3,0.14548%
programming,3,0.14548%
database,3,0.14548%
programs,3,0.14548%
handle,3,0.14548%
OLTP,3,0.14548%
UDF's,3,0.14548%
J2EE,3,0.14548%
environment,3,0.14548%
setting,3,0.14548%
Analyzed,3,0.14548%
Hibernate,3,0.14548%
Teradata,3,0.14548%
models,3,0.14548%
business,3,0.14548%
closely,3,0.14548%
team,3,0.14548%
Maven,3,0.14548%
Guevara,3,0.14548%
Ambari,3,0.14548%
requirements,3,0.14548%
System,3,0.14548%
Hbase,3,0.14548%
importing,3,0.14548%
Kafka.,3,0.14548%
load,3,0.14548%
Informatica,3,0.14548%
5.5.1,3,0.14548%
build,3,0.14548%
YARN,3,0.14548%
application.,3,0.14548%
new,3,0.14548%
Parquet,3,0.14548%
clusters,3,0.14548%
project,3,0.14548%
BI,3,0.14548%
Source,3,0.14548%
Scala.,3,0.14548%
configuration,3,0.14548%
analysis.,3,0.14548%
client,3,0.14548%
MySQL,3,0.14548%
Analysis,3,0.14548%
jobs,3,0.14548%
Kibana,3,0.14548%
requirement.,2,0.09699%
2012,2,0.09699%
Hadoop.,2,0.09699%
vicenteayala1888@gmail.com,2,0.09699%
