blms_id,blms_parcel,blms_loc_no,blms_loc_street,blms_dba,bldt_lic_text2,bldt_lic_text3,bldt_lic_text6,bldt_lic_text7,xcoord,ycoord,geom
10652,134387193,259,SISSON AV,HIBACHI GRILL CHINA KING INC,FOOD - CLASS 4,RESTAURANT,,,1011601,839875,"(41.766101752618, -72.707475947784)"
17885,,18,FRONT ST,BARNES & NOBLE UCONN BOOKSTORE #8208,FOOD - CLASS 3,,,,,,
17908,187612066,450,NEW BRITAIN AV,ANGELEE'S GROCERY,FOOD - CLASS 2,,,,1014256,830155,"(41.739423316514, -72.697765450885)"
10228,133304005,5,CONE ST,NOAH WEBSTER ELEMENTARY,FOOD - CLASS 3,SCHOOL,SEATING CAPACITY 442,,1010306,840813,"(41.768677533616, -72.712221332002)"
17911,113374073,2014,PARK ST,TAY DO,FOOD - CLASS 4,,,,1010271,836326,"(41.756364000653, -72.712356797519)"
17923,,1995,PARK ST,CHARCOAL GRILL LLC,FOOD - CLASS 4,,,,,,
17924,232768135,236,SOUTH ST,MATTY D'S RESTAURANT & BAR,FOOD - CLASS 3,,,,1018680,828382,"(41.734549205397, -72.681560890745)"
17930,,89,BARBOUR ST,BARBOUR GROCERY,FOOD - CLASS 1,,,,,,
17937,286074004,125,WESTON ST,NINE STARS INC. DBA MOBIL GAS STATION,FOOD - CLASS 2,,,,1023840,848496,"(41.789734823426, -72.662581329166)"
17935,205543120,1180,BROAD ST,PAPA JOHNS PIZZA,FOOD - CLASS 3,,,,1017250,835173,"(41.753188665114, -72.686781868896)"
17700,248450025,206,PARK ST,SAMMY'S MARKET,FOOD - CLASS 1,,,,1019208,836814,"(41.757687877415, -72.679601256299)"
17928,230658127,686,MAPLE AV,ISABELA BAKERY,FOOD - CLASS 4,,,,1018207,830959,"(41.74162226464, -72.683286561208)"
17938,226537060,517,PARK ST,EL TEPEYAC RESTAURANT LLC,FOOD - CLASS 4,,,,1017625,836859,"(41.757814764043, -72.685402943497)"
17758,248555083,75,PARK ST,MI SABOR RESTAURANT,FOOD - CLASS 4,,,,1019913,836615,"(41.757140160666, -72.677017996612)"
17946,223330035,440,ASYLUM ST,RED ROOF PLUS,FOOD - CLASS 2,,,,1018835,840543,"(41.767922112255, -72.680957408045)"
17952,,1778,PARK ST,MARINO'S MINI MARKET,FOOD - CLASS 1,,,,,,
17690,181521053,168,HILLSIDE AV,VICTORIA PIZZA RESTAURANT,FOOD - CLASS 4,,,,,,
17673,269346001,49,ASYLUM ST,DHABA WALA INDIAN KITCHEN,FOOD - CLASS 4,,,,1020853,839832,"(41.765966271898, -72.673562427929)"
17958,198215129,779,ALBANY AV,KENTUCKY FRIED CHICKEN,FOOD - CLASS 4,,,,1016433,844711,"(41.779365159569, -72.689751653568)"
17957,134387198,501,FARMINGTON AV,KENTUCKY FRIED CHICKEN,FOOD - CLASS 4,,,,1011355,839958,"(41.766329855705, -72.70837752713)"
17964,198204061,885,ALBANY AV,J. R. #1 SUPERMARKET LLC,FOOD - CLASS 2,,,,1015972,844947,"(41.780013676491, -72.691441232297)"
17965,252670069,315,FRANKLIN AV,RITE AID #10349,FOOD - CLASS 1,,,,1020069,831018,"(41.741780030691, -72.67646370695)"
17932,239112045,259,BARBOUR ST,UNITY PLAZA SUPER MARKET COMPARE FOODS,FOOD - CLASS 4,,,,1019577,849731,"(41.793134758673, -72.678209513316)"
17929,230658125,678,MAPLE AV,LO SANO BAR AND LOUNGE LLC,FOOD - CLASS 4,,,,1018244,831052,"(41.741877404715, -72.683150723833)"
17972,,360,FRANKLIN AV,OLGUITAS RESTAURANT,FOOD - CLASS 4,,,,,,
17978,253788057,455,FRANKLIN AV,MI IMPERIO DOMINICANO LLC,FOOD - CLASS 3,,,,1020320,829196,"(41.736779340261, -72.675549751365)"
17837,,250,ALBANY AV,EVERYTHING'S CHILL,FOOD - CLASS 3,,,,,,
17973,,1,CIVIC CENTER PLAZA,CHICK-FIL-A WEST HARTFORD/XL CENTER,FOOD - CLASS 2,,,,,,
17981,269353004,1,TOWER SQ,TRAVELERS COURTHOUSE,FOOD - CLASS 4,,,,1021147,839363,"(41.764678488053, -72.672486300681)"
17982,269353004,1,TOWER SQ,TRAVELERS STARBUCKS,FOOD - CLASS 3,,,,1021147,839363,"(41.764678488053, -72.672486300681)"
17983,269353004,1,TOWER SQ,TRAVELERS PLAZA,FOOD - CLASS 4,,,,1021147,839363,"(41.764678488053, -72.672486300681)"
